Name,Year,hkls_name,hkls_link,Price,Stock,Volume
Cragganmore,12,Cragganmore 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/cragganmore-12-years-single-malt-whisky.html,698,True,700ml
Glenfarclas,15,,,,,
Glenfiddich,15,Glenfiddich 15 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenfiddich-15-years-single-malt-whisky.html,628,True,700ml
Glenlivet,12,The Glenlivet 12 Years Excellence Single Malt Whisky,https://www.hkliquorstore.com/index.php/asia-miles/the-glenlivet-12-years-excellence-single-malt-whisky.html,498,True,700ml
Aberlour,18,Aberlour 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/aberlour-18-years-single-malt-whisky.html,1658,True,500ml
Glendronach,15,The GlenDronach 15 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-glendronach-15-years-single-malt-whisky.html,898,True,700ml
Cardhu,12,Cardhu 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/cardhu-12-years-single-malt-whisky.html,768,True,700ml
Glendronach,18,The GlenDronach 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-glendronach-18-years-single-malt-whisky.html,1398,True,700ml
Bushmills,10,Bushmills 10 Years Single Malt Irish Whiskey,https://www.hkliquorstore.com/index.php/bushmills-10-years-single-malt-irish-whiskey.html,428,True,700ml
Highland Park,18,Highland Park Viking Pride 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/highland-park-viking-pride-18-years-single-malt-whisky.html,1380,True,700ml
Glenfarclas,25,Glenfarclas 25 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenfarclas-25-years-single-malt-whisky.html,1988,True,700ml
Glenfarclas,12,Glenfarclas 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenfarclas-12-years-single-malt-whisky.html,728,True,700ml
Glenfiddich,18,Glenfiddich 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenfiddich-18-years-single-malt-whisky.html,980,True,700ml
Glenlivet,18,The Glenlivet 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/asia-miles/the-glenlivet-18-years-single-malt-whisky.html,1298,True,700ml
